"containsURL","URLcount","RTcount","htgScore","reply","OOVratio","first_follower","first_popularity","first_mention","first_list","sum_follower","sum_popularity","sum_mention","sum_list","important_follower","important_popularity","important_mention","important_list"
"False","0.0","1","95.2083","False","0.0038","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"True","1.0","0","503.5","False","0.0415","734","0.2","0","34","734","0.2","0","34","734","0.2","0","34"
"False","0.0","0","207.5714","False","0.0225","40","0.2","0","0","40","0.2","0","0","40","0.2","0","0"
"False","0.0","1","522.1667","False","0.0464","291","0.2","1","6","291","0.2","1","6","291","0.2","1","6"
"True","16.0","0","532.3333","False","0.0605","23","0.2","0","0","23","0.2","0","0","23","0.2","0","0"
"False","0.0","0","139.25","False","0.0293","5","0.2","0","0","5","0.2","0","0","5","0.2","0","0"
"True","11.0","0","429.0","False","0.025","4","0.2","0","0","4","0.2","0","0","4","0.2","0","0"
"False","0.0","0","217.6667","False","0.0739","17","0.2","5","0","17","0.2","5","0","17","0.2","5","0"
"False","0.0","0","321.5","False","0.0381","98","0.2","0","0","98","0.2","0","0","98","0.2","0","0"
"True","1.0","1","63.5","False","0.0614","3323","0.2","2","39","3323","0.2","2","39","3323","0.2","2","39"
"False","0.0","0","1275.0","False","0.1028","2118","0.36","423","34","2118","0.36","423","34","2118","0.36","423","34"
"True","1.0","1","321.4","False","0.0449","195","0.2","0","3","195","0.2","0","3","195","0.2","0","3"
"True","2.0","0","237.0","False","0.0142","23","0.2","0","0","23","0.2","0","0","23","0.2","0","0"
"True","1.0","0","140.3846","False","0.0226","29","0.2","0","1","29","0.2","0","1","29","0.2","0","1"
"True","1.0","0","338.5","False","0.0504","682","0.2","1","56","682","0.2","1","56","682","0.2","1","56"
"True","1.0","0","142.4","False","0.0229","29","0.2","0","1","29","0.2","0","1","29","0.2","0","1"
"True","1.0","0","168.1","False","0.0283","9","0.2","1","0","9","0.2","1","0","9","0.2","1","0"
