"containsURL","URLcount","RTcount","htgScore","reply","OOVratio","first_follower","first_popularity","first_mention","first_list","sum_follower","sum_popularity","sum_mention","sum_list","important_follower","important_popularity","important_mention","important_list"
"False","0.0","0","488.0","False","0.0588","416","0.2","1","5","416","0.2","1","5","416","0.2","1","5"
"True","2.0","0","260.0","False","0.0759","370","0.2","1","5","370","0.2","1","5","370","0.2","1","5"
"True","1.0","1","83.0","False","0.0573","606","0.2","0","7","606","0.2","0","7","606","0.2","0","7"
"False","0.0","0","66.0","False","0.03","15","0.2","0","1","15","0.2","0","1","15","0.2","0","1"
"False","0.0","0","488.0","False","0.0395","370","0.2","1","5","370","0.2","1","5","370","0.2","1","5"
"True","1.0","0","488.0","False","0.0658","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","0","195.0","False","0.0145","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","87.3333","False","0.0702","50","0.2","0","1","50","0.2","0","1","50","0.2","0","1"
"True","14.0","0","236.0","False","0.0417","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","54.6","False","0.06","3323","0.2","1","39","3323","0.2","1","39","3323","0.2","1","39"
"True","1.0","0","160.2","False","0.0227","106","0.2","0","0","106","0.2","0","0","106","0.2","0","0"
"True","77.0","0","320.5","False","0.0455","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","162.6667","False","0.0469","3","0.2","0","0","3","0.2","0","0","3","0.2","0","0"
"True","14.0","0","236.0","False","0.0272","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","77.0","0","320.5","False","0.0448","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","1","488.0","False","0.0833","216","0.2","0","0","216","0.2","0","0","216","0.2","0","0"
"True","1.0","0","245.0","False","0.0581","959","0.2","0","8","959","0.2","0","8","959","0.2","0","8"
"True","2.0","1","230.3333","False","0.0476","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","0","488.0","False","0.0299","253","0.2","0","3","253","0.2","0","3","253","0.2","0","3"
"True","2.0","1","100.8","False","0.0461","682","0.2","0","56","682","0.2","0","56","682","0.2","0","56"
"True","1.0","0","260.0","False","0.1061","9","0.2","0","0","9","0.2","0","0","9","0.2","0","0"
"False","0.0","0","488.0","False","0.0503","148","0.2","0","2","148","0.2","0","2","148","0.2","0","2"
"True","1.0","0","167.0","False","0.0377","682","0.2","0","56","682","0.2","0","56","682","0.2","0","56"
"True","14.0","0","236.0","False","0.0417","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","1","257.0","False","0.0637","3788","0.2","4","170","3788","0.2","4","170","3788","0.2","4","170"
"True","1.0","2","488.0","False","0.0513","636","0.2","0","3","636","0.2","0","3","636","0.2","0","3"
"False","0.0","0","0.0","False","0.0523","6","0.2","0","0","6","0.2","0","0","6","0.2","0","0"
"False","0.0","1","122.75","False","0.0361","1268","0.2","0","95","1268","0.2","0","95","1268","0.2","0","95"
"True","1.0","0","488.0","False","0.071","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","0","320.5","False","0.05","346","0.2","0","13","346","0.2","0","13","346","0.2","0","13"
"True","1.0","0","260.0","False","0.0504","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","2.0","0","488.0","False","0.0813","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","1.0","0","72.0","False","0.0495","99","0.2","0","10","99","0.2","0","10","99","0.2","0","10"
"False","0.0","0","374.0","False","0.0309","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"True","3.0","1","488.0","False","0.0674","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"False","0.0","0","195.0","False","0.0145","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","47.4286","False","0.0192","491","0.2","0","27","491","0.2","0","27","491","0.2","0","27"
"True","1.0","0","104.0","False","0.0446","1865","0.2","0","57","1865","0.2","0","57","1865","0.2","0","57"
"False","0.0","0","145.0","False","0.0526","175","0.2","0","8","175","0.2","0","8","175","0.2","0","8"
"True","1.0","1","245.5","False","0.0397","849","0.2","0","13","849","0.2","0","13","849","0.2","0","13"
"True","1.0","0","488.0","False","0.0633","1225","0.2","0","133","1225","0.2","0","133","1225","0.2","0","133"
"False","0.0","0","260.0","False","0.0446","1537","0.2","0","21","1537","0.2","0","21","1537","0.2","0","21"
"False","0.0","3","163.6667","False","0.0297","3788","0.2","4","170","3788","0.2","4","170","3788","0.2","4","170"
"True","14.0","0","236.0","False","0.0417","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","1","54.8","False","0.0637","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","1.0","0","132.0","False","0.0956","3","0.2","0","0","3","0.2","0","0","3","0.2","0","0"
"True","1.0","0","244.5","False","0.0435","416","0.2","1","5","416","0.2","1","5","416","0.2","1","5"
"True","1.0","0","260.0","False","0.1111","1356","0.2","0","75","1356","0.2","0","75","1356","0.2","0","75"
"False","0.0","0","488.0","False","0.0455","327","0.2","0","5","327","0.2","0","5","327","0.2","0","5"
"True","1.0","0","260.0","False","0.0118","1717","0.2","0","37","1717","0.2","0","37","1717","0.2","0","37"
"False","0.0","0","87.3333","False","0.0549","62","0.2","0","0","62","0.2","0","0","62","0.2","0","0"
"False","0.0","1","93.0","False","0.0082","1385","0.2","0","12","1385","0.2","0","12","1385","0.2","0","12"
"True","77.0","0","320.5","False","0.0336","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"True","1.0","0","104.125","False","0.048","4884","0.2","0","99","4884","0.2","0","99","4884","0.2","0","99"
"False","0.0","1","374.0","False","0.0596","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","1.0","1","74.0","False","0.0472","4884","0.2","0","99","4884","0.2","0","99","4884","0.2","0","99"
"False","0.0","1","374.0","False","0.038","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"True","1.0","0","488.0","False","0.0486","416","0.2","1","5","416","0.2","1","5","416","0.2","1","5"
"True","2.0","0","180.25","False","0.0253","575","0.2","0","36","575","0.2","0","36","575","0.2","0","36"
"True","77.0","0","320.5","False","0.0465","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","1","488.0","False","0.0375","274","0.2","0","9","274","0.2","0","9","274","0.2","0","9"
"False","0.0","0","260.0","False","0.0506","1195","0.2","3","22","1195","0.2","3","22","1195","0.2","3","22"
"True","1.0","0","126.25","False","0.0455","569","0.2","0","7","569","0.2","0","7","569","0.2","0","7"
"True","1.0","0","488.0","False","0.087","23396","0.2","0","482","23396","0.2","0","482","23396","0.2","0","482"
"False","0.0","1","245.0","False","0.0301","3644","0.2","0","67","3644","0.2","0","67","3644","0.2","0","67"
"False","0.0","0","245.0","False","0.0197","374","0.2","1","0","374","0.2","1","0","374","0.2","1","0"
"True","1.0","0","69.2","False","0.0439","84","0.2","0","0","84","0.2","0","0","84","0.2","0","0"
"True","1.0","0","43.375","False","0.0462","4884","0.2","0","99","4884","0.2","0","99","4884","0.2","0","99"
"False","0.0","0","47.25","False","0.0261","28","0.2","0","0","28","0.2","0","0","28","0.2","0","0"
"False","0.0","0","201.6667","False","0.0159","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","23.9286","True","0.0","480","0.2","0","3","480","0.2","0","3","480","0.2","0","3"
"False","0.0","2","134.8571","False","0.0342","2118","0.36","231","34","2118","0.36","231","34","2118","0.36","231","34"
"True","77.0","0","320.5","False","0.0448","284","0.2","0","5","284","0.2","0","5","284","0.2","0","5"
"False","0.0","0","488.0","False","0.0469","416","0.2","1","5","416","0.2","1","5","416","0.2","1","5"
